,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
68,08327000,Tuttlingen,8,13,2020-03-20,140152, 8.790147,48.03779,0.9,9.3,2020-03-21 09:45:06
69,08335000,Konstanz,8,52,2020-03-20,285325, 8.912328,47.81630,1.8,18.2,2020-03-21 09:45:06
70,08336000,Lörrach,8,57,2020-03-20,228639, 7.770051,47.68297,2.5,24.9,2020-03-21 09:45:06
71,08337000,Waldshut,8,13,2020-03-20,170619, 8.098528,47.68449,0.8,7.6,2020-03-21 09:45:06
72,08415000,Reutlingen,8,94,2020-03-20,286748, 9.391600,48.38801,3.3,32.8,2020-03-21 09:45:06
73,08416000,Tübingen,8,112,2020-03-20,227331, 8.990978,48.48467,4.9,49.3,2020-03-21 09:45:06
74,08417000,Zollernalbkreis,8,70,2020-03-20,188935, 8.932076,48.26350,3.7,37,2020-03-21 09:45:06
75,08421000,Ulm (Stadtkreis),8,35,2020-03-20,126329, 9.935082,48.37496,2.8,27.7,2020-03-21 09:45:06
76,08425000,Alb-Donau-Kreis,8,39,2020-03-20,196047, 9.728089,48.34099,2,19.9,2020-03-21 09:45:06
77,08426000,Biberach,8,45,2020-03-20,199742, 9.854360,48.11076,2.3,22.5,2020-03-21 09:45:06
78,08435000,Bodenseekreis,8,71,2020-03-20,216227, 9.315784,47.76876,3.3,32.8,2020-03-21 09:45:06
79,08436000,Ravensburg,8,110,2020-03-20,284285, 9.734416,47.82249,3.9,38.7,2020-03-21 09:45:06
80,08437000,Sigmaringen,8,67,2020-03-20,130873, 9.235901,48.01759,5.1,51.2,2020-03-21 09:45:06
81,-,Summe,-,890,-,4084844,-,-,-,-,-
82,-,Summe,-,3665,-,11069533,-,-,-,-,-
